reviewer_number,social_level,ability_level,recognition_level,engagement,satisfaction
1,0.1,0.4,0.1,0.1,0.5
2,0.2,0.7,0.2,0.7,0.5
3,0.4,0.5,0.4,0.4,0.5
4,0.6,0.5,0.5,0.5,0.5
5,0.5,0.8,0.5,0.5,0.5
6,0.1,0.1,0.1,0.1,0.5
7,0.6,0.2,0.2,0.7,0.5
8,0.4,0.4,0.7,0.4,0.5
9,0.7,0.3,0.5,0.5,0.5
10,0.5,0.7,0.5,0.2,0.5
11,0.1,0.1,0.4,0.4,0.5
12,0.2,0.2,0.7,0.8,0.5
13,0.4,0.4,0.5,0.5,0.5
14,0.5,0.5,0.5,0.7,0.5
15,0.5,0.5,0.5,0.2,0.5
16,0.1,0.1,0.1,0.4,0.5
17,0.2,0.2,0.7,0.5,0.5
18,0.4,0.4,0.4,0.7,0.5
19,0.5,0.6,0.3,0.6,0.5
20,0.5,0.5,0.8,0.2,0.5
21,0.1,0.6,0.1,0.1,0.5
22,0.2,0.2,0.2,0.2,0.5
23,0.4,0.7,0.4,0.8,0.5
24,0.7,0.5,0.5,0.7,0.5
25,0.5,0.6,0.5,0.5,0.5
26,0.1,0.1,0.8,0.1,0.5
27,0.8,0.2,0.2,0.2,0.5
28,0.4,0.4,0.4,0.7,0.5
29,0.5,0.5,0.5,0.5,0.5
30,0.1,0.1,0.7,0.1,0.5
31,0.6,0.2,0.2,0.2,0.5
32,0.4,0.4,0.4,0.4,0.5
33,0.5,0.7,0.5,0.7,0.5
34,0.5,0.5,0.7,0.5,0.5
35,0.6,0.5,0.5,0.5,0.5
36,0.1,0.1,0.1,0.1,0.5
37,0.2,0.2,0.2,0.2,0.5
38,0.4,0.4,0.4,0.6,0.5
39,0.1,0.8,0.1,0.1,0.5
40,0.7,0.2,0.2,0.2,0.5
41,0.4,0.4,0.4,0.8,0.5
42,0.8,0.8,0.8,0.8,0.5
43,0.5,0.5,0.5,0.5,0.5
44,0.1,0.1,0.1,0.8,0.5
45,0.7,0.7,0.7,0.7,0.5
46,0.4,0.4,0.4,0.4,0.5
47,0.5,0.5,0.5,0.5,0.5
48,0.5,0.7,0.5,0.5,0.5
49,0.4,0.4,0.4,0.4,0.5
50,0.8,0.8,0.8,0.6,0.5
